"population","ID","block","color","number","size","env","group","old.H8","old.H9","H8","H9"
513,513.2,3,"pink",1,20,"stable","high",0.739,0.73,0.747284612396298,0.73808862313346
513,513.3,3,"pink",1,20,"stable","high",0.739,0.73,0.747284612396298,0.73808862313346
514,514.1,3,"pink",1,20,"stable",NA,NA,NA,0.875643259670778,0.844816569678144
515,515.1,3,"pink",1,20,"stable","high",0.743,0.729,0.751362097990906,0.736773291209938
516,516.1,3,"pink",1,20,"stable","low",0.839,0.809,0.84155764896431,0.812042153757762
518,518.1,3,"pink",1,20,"stable",NA,NA,NA,0.754876097623369,0.728890186853456
519,519.1,3,"pink",1,20,"stable",NA,NA,NA,0.826762551351165,0.809124623467181
520,520.1,3,"pink",1,20,"stable",NA,NA,NA,0.756561761724743,0.733179812700321
522,522.1,3,"pink",1,20,"stable","low",0.84,0.827,0.843449773410061,0.829987789494723
525,525.1,3,"pink",1,20,"stable","low",0.822,0.809,0.825591425719375,0.812240352491422
526,526.1,3,"pink",1,20,"stable",NA,NA,NA,0.823142372711163,0.810766094616422
527,527.1,3,"pink",1,20,"stable",NA,NA,NA,0.778581009222035,0.749194941259084
528,528.1,3,"pink",1,20,"stable","low",0.847,0.834,0.849682466057795,0.837322766448724
530,530.1,3,"pink",1,20,"stable","high",0.749,0.732,0.757185818322605,0.740176366408354
531,531.1,3,"pink",1,20,"stable","low",0.864,0.855,0.865855869041923,0.857308597275018
531,531.2,3,"pink",1,20,"stable","low",0.864,0.855,0.865855869041923,0.857308597275018
532,532.3,3,"pink",1,20,"stable","low",0.766,0.757,0.773622022342883,0.764308947620752
532,532.1,3,"pink",1,20,"stable","low",0.766,0.757,0.773622022342883,0.764308947620752
532,532.2,3,"pink",1,20,"stable","low",0.766,0.757,0.773622022342883,0.764308947620752
536,536.1,3,"pink",1,20,"stable","high",0.73,0.719,0.737160261742863,0.725514870065321
536,536.2,3,"pink",1,20,"stable","high",0.73,0.719,0.737160261742863,0.725514870065321
538,538.1,3,"pink",1,20,"stable",NA,NA,NA,0.768014701725894,0.587037717657101
540,540.1,3,"pink",1,20,"stable",NA,NA,NA,0.844448041770722,0.823731496755101
542,542.1,3,"pink",2,10,"fluctuating",NA,NA,NA,0.881575387116577,0.864810759798493
543,543.1,3,"pink",2,10,"fluctuating",NA,NA,NA,0.907376308796831,0.887844597578462
545,545.1,3,"pink",2,10,"fluctuating","low",0.886,0.86,0.901143991130495,0.874949423094793
546,546.1,3,"pink",2,10,"fluctuating","high",0.744,0.726,0.776080144499103,0.757932642720751
549,549.1,3,"pink",2,10,"fluctuating",NA,NA,NA,0.812719131237758,0.797584468848532
550,550.1,3,"pink",2,10,"fluctuating",NA,NA,NA,0.794554502593335,0.673835051429031
552,552.1,3,"pink",2,10,"fluctuating","low",0.868,0.858,0.888307958691031,0.878380626794686
552,552.2,3,"pink",2,10,"fluctuating","low",0.868,0.858,0.888307958691031,0.878380626794686
554,554.1,3,"pink",2,10,"fluctuating",NA,NA,NA,0.753053705670731,0.601406049690704
556,556.1,3,"pink",2,10,"fluctuating",NA,NA,NA,0.788529820904958,0.612744157285626
557,557.1,3,"pink",2,10,"fluctuating",NA,NA,NA,0.888749064534223,0.864537892275643
558,558.1,3,"pink",2,10,"fluctuating",NA,NA,NA,0.857350925028899,0.842012643890167
560,560.1,3,"pink",2,10,"fluctuating","high",0.85,0.831,0.869760160976867,0.851217134878201
561,561.1,3,"pink",2,10,"fluctuating",NA,NA,NA,0.859682891076209,0.836238751089259
563,563.1,3,"pink",2,10,"fluctuating","high",0.792,0.756,0.81843585078389,0.782591683376646
564,564.1,3,"pink",2,10,"fluctuating",NA,NA,NA,0.879838109426687,0.807394788025233
568,568.1,3,"pink",2,10,"fluctuating",NA,NA,NA,0.865815680501727,0.814865849227061
569,569.1,3,"pink",2,10,"fluctuating",NA,NA,NA,0.892952568726881,0.869782581261328
570,570.1,3,"pink",2,10,"fluctuating",NA,NA,NA,0.888647454594353,0.855715700086286
571,571.1,3,"pink",2,10,"stable","low",0.841,0.832,0.854119683041606,0.844724399092377
571,571.2,3,"pink",2,10,"stable","low",0.841,0.832,0.854119683041606,0.844724399092377
575,575.2,3,"pink",2,10,"stable","high",0.84,0.828,0.850929192208178,0.839245569976851
575,575.1,3,"pink",2,10,"stable","high",0.84,0.828,0.850929192208178,0.839245569976851
577,577.1,3,"pink",2,10,"stable","high",0.804,0.783,0.830649374110351,0.809121990105203
579,579.1,3,"pink",2,10,"stable",NA,NA,NA,0.850985578751923,0.82653174255719
580,580.1,3,"pink",2,10,"stable",NA,NA,NA,0.787614077574316,0.76922283822695
583,583.1,3,"pink",2,10,"stable",NA,NA,NA,0.773160831470012,0.756011019706049
586,586.1,3,"pink",2,10,"stable",NA,NA,NA,0.785233921969771,0.743853757222641
590,590.1,3,"pink",2,10,"stable",NA,NA,NA,0.775006608462026,0.755259616701684
